Company,Date,Open,High,Low,Close,Volume
EGX30 INDEX,2017-06-13,0,0,0,13531.34,351496881
EGX30 INDEX,2017-06-12,0,0,0,13491.89,418202373
EGX30 INDEX,2017-06-11,0,0,0,13616.04,390046088
EGX30 INDEX,2017-06-08,0,0,0,13683.66,265047127
EGX30 INDEX,2017-06-07,0,0,0,13632.98,305974565
EGX30 INDEX,2017-06-06,0,0,0,13626.8,321357932
EGX30 INDEX,2017-06-05,0,0,0,13520.13,201354353
EGX30 INDEX,2017-06-04,0,0,0,13495.32,155576392
EGX30 INDEX,2017-06-01,0,0,0,13467.29,218828421
EGX30 INDEX,2017-05-31,0,0,0,13339.63,353493832
EGX30 INDEX,2017-05-30,0,0,0,13239.16,377708575
EGX30 INDEX,2017-05-29,0,0,0,13207.94,312878712
EGX30 INDEX,2017-05-28,0,0,0,13205.11,260851471
EGX30 INDEX,2017-05-25,0,0,0,13094.42,335035424
EGX30 INDEX,2017-05-24,0,0,0,12884.44,366759518
EGX30 INDEX,2017-05-23,0,0,0,12791.83,441372202
EGX30 INDEX,2017-05-22,0,0,0,12648.24,484317466
EGX30 INDEX,2017-05-21,0,0,0,12974.75,189504142
EGX30 INDEX,2017-05-18,0,0,0,12952.38,212842418
EGX30 INDEX,2017-05-17,0,0,0,13064.02,376457687
EGX30 INDEX,2017-05-16,0,0,0,12936.59,559190150
EGX30 INDEX,2017-05-15,0,0,0,12866.06,301944523
EGX30 INDEX,2017-05-14,0,0,0,12870.91,113102301
EGX30 INDEX,2017-05-11,0,0,0,12906.98,209971789
EGX30 INDEX,2017-05-10,0,0,0,12993.4,352854165
EGX30 INDEX,2017-05-09,0,0,0,12933.68,361670008
EGX30 INDEX,2017-05-08,0,0,0,12827.93,288731563
EGX30 INDEX,2017-05-07,0,0,0,12692.15,385000549
EGX30 INDEX,2017-05-04,0,0,0,12709.93,175521013
EGX30 INDEX,2017-05-03,0,0,0,12603.56,167636490
EGX30 INDEX,2017-05-02,0,0,0,12530.32,384134478
EGX30 INDEX,2017-04-30,0,0,0,12433.6,200714041
EGX30 INDEX,2017-04-27,0,0,0,12525.69,189948516
EGX30 INDEX,2017-04-26,0,0,0,12671.93,138911778
EGX30 INDEX,2017-04-24,0,0,0,12583.13,135339683
EGX30 INDEX,2017-04-23,0,0,0,12544.92,220057610
EGX30 INDEX,2017-04-20,0,0,0,12905.85,152500555
EGX30 INDEX,2017-04-19,0,0,0,12895.3,140047416
EGX30 INDEX,2017-04-18,0,0,0,13027.14,187135456
EGX30 INDEX,2017-04-13,0,0,0,12967.38,116175324
EGX30 INDEX,2017-04-12,0,0,0,12984.36,162802495
EGX30 INDEX,2017-04-11,0,0,0,12995.71,192163398
