Company,Date,Open,High,Low,Close,Volume
NGSE ALL SHARE INDEX,2017-06-13,0,0,0,33141.85,410223496
NGSE ALL SHARE INDEX,2017-06-12,0,0,0,33235.28,501081775
NGSE ALL SHARE INDEX,2017-06-09,0,0,0,33276.68,686304237
NGSE ALL SHARE INDEX,2017-06-08,0,0,0,32937.98,528638604
NGSE ALL SHARE INDEX,2017-06-07,0,0,0,32686.72,499107574
NGSE ALL SHARE INDEX,2017-06-06,0,0,0,32200.38,744992196
NGSE ALL SHARE INDEX,2017-06-05,0,0,0,32578.38,640439207
NGSE ALL SHARE INDEX,2017-06-02,0,0,0,31371.63,708411054
NGSE ALL SHARE INDEX,2017-06-01,0,0,0,30314.14,434433487
NGSE ALL SHARE INDEX,2017-05-31,0,0,0,29498.31,343192321
NGSE ALL SHARE INDEX,2017-05-30,0,0,0,29276.59,832517967
NGSE ALL SHARE INDEX,2017-05-26,0,0,0,29064.52,725542699
NGSE ALL SHARE INDEX,2017-05-25,0,0,0,28467.61,418935759
NGSE ALL SHARE INDEX,2017-05-24,0,0,0,28286.43,311276249
NGSE ALL SHARE INDEX,2017-05-23,0,0,0,28093.3,212689799
NGSE ALL SHARE INDEX,2017-05-22,0,0,0,28078.3,208337223
NGSE ALL SHARE INDEX,2017-05-19,0,0,0,28113.38,305973950
NGSE ALL SHARE INDEX,2017-05-18,0,0,0,28101.63,353144074
NGSE ALL SHARE INDEX,2017-05-17,0,0,0,27900.44,371455788
NGSE ALL SHARE INDEX,2017-05-16,0,0,0,27609.67,569175748
NGSE ALL SHARE INDEX,2017-05-15,0,0,0,27513.69,670964548
NGSE ALL SHARE INDEX,2017-05-12,0,0,0,28192.46,1063159330
NGSE ALL SHARE INDEX,2017-05-11,0,0,0,28423.7,801075296
NGSE ALL SHARE INDEX,2017-05-10,0,0,0,27546.68,584119574
NGSE ALL SHARE INDEX,2017-05-09,0,0,0,26756.21,539232892
NGSE ALL SHARE INDEX,2017-05-08,0,0,0,26418.33,267637143
NGSE ALL SHARE INDEX,2017-05-05,0,0,0,26235.63,442831691
NGSE ALL SHARE INDEX,2017-05-04,0,0,0,26166.8,255647793
NGSE ALL SHARE INDEX,2017-05-03,0,0,0,26116.79,264493247
NGSE ALL SHARE INDEX,2017-05-02,0,0,0,25965.18,191023900
NGSE ALL SHARE INDEX,2017-04-28,0,0,0,25758.51,366467226
NGSE ALL SHARE INDEX,2017-04-27,0,0,0,25753,371760257
NGSE ALL SHARE INDEX,2017-04-26,0,0,0,25620.94,255726549
NGSE ALL SHARE INDEX,2017-04-25,0,0,0,25818.87,127431992
NGSE ALL SHARE INDEX,2017-04-24,0,0,0,25747.05,211757251
NGSE ALL SHARE INDEX,2017-04-21,0,0,0,25189.37,171605253
NGSE ALL SHARE INDEX,2017-04-20,0,0,0,25282.75,147887771
NGSE ALL SHARE INDEX,2017-04-19,0,0,0,25331.77,232295943
NGSE ALL SHARE INDEX,2017-04-18,0,0,0,25207.07,254959003
NGSE ALL SHARE INDEX,2017-04-13,0,0,0,25510.01,349278637
NGSE ALL SHARE INDEX,2017-04-12,0,0,0,25496.71,247678366
NGSE ALL SHARE INDEX,2017-04-11,0,0,0,25478.06,402675291
NGSE ALL SHARE INDEX,2017-04-10,0,0,0,25626.37,191835340
NGSE ALL SHARE INDEX,2017-04-07,0,0,0,25746.52,107935873
NGSE ALL SHARE INDEX,2017-04-06,0,0,0,25755.18,241620708
NGSE ALL SHARE INDEX,2017-04-05,0,0,0,25471.69,158705354
NGSE ALL SHARE INDEX,2017-04-04,0,0,0,25266.15,180220049
NGSE ALL SHARE INDEX,2017-04-03,0,0,0,25273.03,97693582
NGSE ALL SHARE INDEX,2017-03-31,0,0,0,25516.34,377512204
NGSE ALL SHARE INDEX,2017-03-30,0,0,0,25533.82,294183642
NGSE ALL SHARE INDEX,2017-03-29,0,0,0,25267.68,521658952
NGSE ALL SHARE INDEX,2017-03-28,0,0,0,25406.72,191947236
NGSE ALL SHARE INDEX,2017-03-27,0,0,0,25485.17,561481055
NGSE ALL SHARE INDEX,2017-03-24,0,0,0,25454.93,142003965
NGSE ALL SHARE INDEX,2017-03-23,0,0,0,25514.03,115110859
NGSE ALL SHARE INDEX,2017-03-22,0,0,0,25514.09,198838062
NGSE ALL SHARE INDEX,2017-03-21,0,0,0,25558.57,153720519
NGSE ALL SHARE INDEX,2017-03-20,0,0,0,25671.55,495238034
NGSE ALL SHARE INDEX,2017-03-17,0,0,0,25653.16,151384092
NGSE ALL SHARE INDEX,2017-03-16,0,0,0,25418.08,279945416
NGSE ALL SHARE INDEX,2017-03-15,0,0,0,25301.23,233777697
NGSE ALL SHARE INDEX,2017-03-14,0,0,0,25284.56,227757045
NGSE ALL SHARE INDEX,2017-03-13,0,0,0,25136.63,135404296
NGSE ALL SHARE INDEX,2017-03-10,0,0,0,25238.01,245385956
NGSE ALL SHARE INDEX,2017-03-09,0,0,0,25170.36,215908200
NGSE ALL SHARE INDEX,2017-03-08,0,0,0,24986.02,218720476
NGSE ALL SHARE INDEX,2017-03-07,0,0,0,25129.27,215362024
NGSE ALL SHARE INDEX,2017-03-06,0,0,0,24581.99,128160621
NGSE ALL SHARE INDEX,2017-03-03,0,0,0,25012.08,274173305
NGSE ALL SHARE INDEX,2017-03-02,0,0,0,24829.59,186004836
NGSE ALL SHARE INDEX,2017-03-01,0,0,0,25183.1,228023780
NGSE ALL SHARE INDEX,2017-02-28,0,0,0,25329.08,444504723
NGSE ALL SHARE INDEX,2017-02-27,0,0,0,25373.42,254747127
NGSE ALL SHARE INDEX,2017-02-24,0,0,0,25250.37,259311981
NGSE ALL SHARE INDEX,2017-02-23,0,0,0,25409.06,146709146
NGSE ALL SHARE INDEX,2017-02-22,0,0,0,25249.74,118456164
NGSE ALL SHARE INDEX,2017-02-21,0,0,0,25251.63,131161565
NGSE ALL SHARE INDEX,2017-02-20,0,0,0,25249.49,110016793
NGSE ALL SHARE INDEX,2017-02-17,0,0,0,25164.91,480000153
NGSE ALL SHARE INDEX,2017-02-16,0,0,0,25055.29,144395422
NGSE ALL SHARE INDEX,2017-02-15,0,0,0,25130.26,161939067
NGSE ALL SHARE INDEX,2017-02-14,0,0,0,25032.17,144886459
NGSE ALL SHARE INDEX,2017-02-13,0,0,0,25244.65,141916837
NGSE ALL SHARE INDEX,2017-02-10,0,0,0,25340.02,201727297
NGSE ALL SHARE INDEX,2017-02-09,0,0,0,25322.3,143233080
NGSE ALL SHARE INDEX,2017-02-08,0,0,0,25460.45,347823586
NGSE ALL SHARE INDEX,2017-02-07,0,0,0,25446.66,207175116
NGSE ALL SHARE INDEX,2017-02-06,0,0,0,25587.09,152396071
NGSE ALL SHARE INDEX,2017-02-03,0,0,0,25802.54,144626685
NGSE ALL SHARE INDEX,2017-02-02,0,0,0,25936.24,151502979
NGSE ALL SHARE INDEX,2017-02-01,0,0,0,25903.55,246355204
NGSE ALL SHARE INDEX,2017-01-31,0,0,0,26036.24,205771130
NGSE ALL SHARE INDEX,2017-01-30,0,0,0,26217.18,143523453
NGSE ALL SHARE INDEX,2017-01-27,0,0,0,26328.22,237789464
