Company,Date,Open,High,Low,Close,Volume
NSE 20 SHARE INDEX,2016-08-10,3463.22,3463.22,3463.22,3463.22,10381300
NSE 20 SHARE INDEX,2016-08-09,3459.1,3459.1,3459.1,3459.1,15876200
NSE 20 SHARE INDEX,2016-08-08,3463.59,3463.59,3463.59,3463.59,17936100
NSE 20 SHARE INDEX,2016-08-05,3482.18,3482.18,3482.18,3482.18,16045000
NSE 20 SHARE INDEX,2016-08-04,3464.48,3464.48,3464.48,3464.48,10532200
NSE 20 SHARE INDEX,2016-08-03,3479.73,3479.73,3479.73,3479.73,24411000
NSE 20 SHARE INDEX,2016-08-02,3478.97,3478.97,3478.97,3478.97,25909000
NSE 20 SHARE INDEX,2016-08-01,3460.6,3460.6,3460.6,3460.6,26212700
NSE 20 SHARE INDEX,2016-07-29,3488.67,3488.67,3488.67,3488.67,18776600
NSE 20 SHARE INDEX,2016-07-28,3468.29,3468.29,3468.29,3468.29,28539200
NSE 20 SHARE INDEX,2016-07-27,3475.38,3475.38,3475.38,3475.38,48392500
NSE 20 SHARE INDEX,2016-07-26,3494.03,3494.03,3494.03,3494.03,26319700
NSE 20 SHARE INDEX,2016-07-25,3508.49,3508.49,3508.49,3508.49,14826800
NSE 20 SHARE INDEX,2016-07-22,3524.59,3524.59,3524.59,3524.59,14830800
NSE 20 SHARE INDEX,2016-07-21,3515.1,3515.1,3515.1,3515.1,31505400
NSE 20 SHARE INDEX,2016-07-20,3520.77,3520.77,3520.77,3520.77,46016200
NSE 20 SHARE INDEX,2016-07-19,3522.98,3522.98,3522.98,3522.98,47466600
NSE 20 SHARE INDEX,2016-07-18,3555.18,3555.18,3555.18,3555.18,5564000
NSE 20 SHARE INDEX,2016-07-15,3596.98,3596.98,3596.98,3596.98,12641100
NSE 20 SHARE INDEX,2016-07-14,3609.81,3609.81,3609.81,3609.81,35678300
NSE 20 SHARE INDEX,2016-07-13,3616.1,3616.1,3616.1,3616.1,23805800
NSE 20 SHARE INDEX,2016-07-12,3619.67,3619.67,3619.67,3619.67,24827300
NSE 20 SHARE INDEX,2016-07-11,3661.58,3661.58,3661.58,3661.58,20864400
NSE 20 SHARE INDEX,2016-07-08,3688.46,3688.46,3688.46,3688.46,19037700
NSE 20 SHARE INDEX,2016-07-06,3664.78,3664.78,3664.78,3664.78,15042200
NSE 20 SHARE INDEX,2016-07-05,3668.45,3668.45,3668.45,3668.45,31462100
NSE 20 SHARE INDEX,2016-07-04,3633.98,3633.98,3633.98,3633.98,21351200
NSE 20 SHARE INDEX,2016-07-01,3652.79,3652.79,3652.79,3652.79,35066200
NSE 20 SHARE INDEX,2016-06-30,3640.61,3640.61,3640.61,3640.61,30226600
NSE 20 SHARE INDEX,2016-06-29,3629.05,3629.05,3629.05,3629.05,25995500
NSE 20 SHARE INDEX,2016-06-28,3636.64,3636.64,3636.64,3636.64,13866600
NSE 20 SHARE INDEX,2016-06-27,3662.15,3662.15,3662.15,3662.15,15409500
NSE 20 SHARE INDEX,2016-06-24,3706.44,3706.44,3706.44,3706.44,22585300
NSE 20 SHARE INDEX,2016-06-23,3744.58,3744.58,3744.58,3744.58,36257200
NSE 20 SHARE INDEX,2016-06-22,3750.98,3750.98,3750.98,3750.98,14391100
NSE 20 SHARE INDEX,2016-06-21,3775.09,3775.09,3775.09,3775.09,33374400
NSE 20 SHARE INDEX,2016-06-20,3767.2,3767.2,3767.2,3767.2,27641200
NSE 20 SHARE INDEX,2016-06-17,3784.32,3784.32,3784.32,3784.32,30163800
NSE 20 SHARE INDEX,2016-06-16,3789.94,3789.94,3789.94,3789.94,42288000
NSE 20 SHARE INDEX,2016-06-15,3799.16,3799.16,3799.16,3799.16,38708000
NSE 20 SHARE INDEX,2016-06-14,3784.56,3784.56,3784.56,3784.56,15050100
NSE 20 SHARE INDEX,2016-06-13,3817.66,3817.66,3817.66,3817.66,6453400
NSE 20 SHARE INDEX,2016-06-10,3833.42,3833.42,3833.42,3833.42,20495500
NSE 20 SHARE INDEX,2016-06-09,3818.19,3818.19,3818.19,3818.19,37901700
NSE 20 SHARE INDEX,2016-06-08,3798.26,3798.26,3798.26,3798.26,28100100
NSE 20 SHARE INDEX,2016-06-07,3797.74,3797.74,3797.74,3797.74,28511600
NSE 20 SHARE INDEX,2016-06-06,3801.03,3801.03,3801.03,3801.03,23476300
NSE 20 SHARE INDEX,2016-06-03,3801.31,3801.31,3801.31,3801.31,20671100
NSE 20 SHARE INDEX,2016-06-02,3799.57,3799.57,3799.57,3799.57,28224200
NSE 20 SHARE INDEX,2016-05-31,3827.8,3827.8,3827.8,3827.8,15680700
NSE 20 SHARE INDEX,2016-05-30,3860.94,3860.94,3860.94,3860.94,5637600
NSE 20 SHARE INDEX,2016-05-27,3867.5,3867.5,3867.5,3867.5,11169500
NSE 20 SHARE INDEX,2016-05-26,3871.74,3871.74,3871.74,3871.74,8148700
NSE 20 SHARE INDEX,2016-05-25,3912.33,3912.33,3912.33,3912.33,24651500
NSE 20 SHARE INDEX,2016-05-24,3895.86,3895.86,3895.86,3895.86,16748800
NSE 20 SHARE INDEX,2016-05-23,3875.69,3875.69,3875.69,3875.69,17057800
NSE 20 SHARE INDEX,2016-05-20,3890.85,3890.85,3890.85,3890.85,9720600
NSE 20 SHARE INDEX,2016-05-19,3880.81,3880.81,3880.81,3880.81,15266700
NSE 20 SHARE INDEX,2016-05-18,3878.42,3878.42,3878.42,3878.42,16789200
NSE 20 SHARE INDEX,2016-05-17,3866.97,3866.97,3866.97,3866.97,10285000
NSE 20 SHARE INDEX,2016-05-16,3907.09,3907.09,3907.09,3907.09,7961700
NSE 20 SHARE INDEX,2016-05-13,3927.69,3927.69,3927.69,3927.69,7666600
NSE 20 SHARE INDEX,2016-05-12,3923.42,3923.42,3923.42,3923.42,9951400
NSE 20 SHARE INDEX,2016-05-11,3934.43,3934.43,3934.43,3934.43,19035700
NSE 20 SHARE INDEX,2016-05-10,3916.74,3916.74,3916.74,3916.74,26026500
NSE 20 SHARE INDEX,2016-05-09,3962.95,3962.95,3962.95,3962.95,12871200
NSE 20 SHARE INDEX,2016-05-06,3964.65,3964.65,3964.65,3964.65,11563200
NSE 20 SHARE INDEX,2016-05-05,3977.85,3977.85,3977.85,3977.85,19419300
NSE 20 SHARE INDEX,2016-05-04,3989.71,3989.71,3989.71,3989.71,17140900
NSE 20 SHARE INDEX,2016-05-03,4022.61,4022.61,4022.61,4022.61,10105300
NSE 20 SHARE INDEX,2016-04-29,4009.26,4009.26,4009.26,4009.26,11194300
NSE 20 SHARE INDEX,2016-04-28,3990.2,3990.2,3990.2,3990.2,20312700
NSE 20 SHARE INDEX,2016-04-27,3985.04,3985.04,3985.04,3985.04,11020500
NSE 20 SHARE INDEX,2016-04-26,4012.72,4012.72,4012.72,4012.72,18688800
