Company,Date,Open,High,Low,Close,Volume
TUNINDEX,2017-07-05,6107.16,6118.84,6085.35,6118.84,729355
TUNINDEX,2017-07-04,6077.62,6110.49,6062.99,6107.22,534624
TUNINDEX,2017-07-03,6039.82,6085.4,6012.4,6077.33,343428
TUNINDEX,2017-06-30,5990.25,6048.25,5990.25,6022.77,585639
TUNINDEX,2017-06-29,5940.56,5986.16,5940.56,5986.16,810801
TUNINDEX,2017-06-28,5934.15,5959.12,5929.71,5939.1,400797
TUNINDEX,2017-06-23,5945.45,5949.45,5930.63,5933.15,2822163
TUNINDEX,2017-06-22,5921.9,5934.15,5908.01,5934.15,797730
TUNINDEX,2017-06-21,5936.58,5949.68,5919.57,5922.67,525907
TUNINDEX,2017-06-20,5939.83,5948.78,5924.14,5932.95,992129
TUNINDEX,2017-06-19,5890.58,5936.9,5890.58,5932.5,0
TUNINDEX,2017-06-16,5893.44,5902.78,5881.19,5889.83,552672
TUNINDEX,2017-06-15,5863.53,5899.56,5855.92,5899.56,392865
TUNINDEX,2017-06-14,5858.17,5871.89,5840.21,5856.09,3224329
TUNINDEX,2017-06-13,5857.68,5860.63,5842.83,5854.6,513239
TUNINDEX,2017-06-12,5813.29,5839.41,5811.7,5839.33,205066
TUNINDEX,2017-06-09,5801.23,5829.93,5801.16,5808.22,415780
TUNINDEX,2017-06-08,5791.82,5798.65,5787.65,5796.95,450017
TUNINDEX,2017-06-07,5774.57,5784.77,5764.63,5782.59,514298
TUNINDEX,2017-06-06,5741.6,5772.04,5741.6,5772.04,582885
TUNINDEX,2017-06-05,5736.96,5744.68,5732.91,5739.53,691963
TUNINDEX,2017-06-02,5728.59,5742.45,5718.03,5735.36,291128
TUNINDEX,2017-06-01,5700.36,5723.14,5700.36,5723.14,209789
TUNINDEX,2017-05-31,5708.42,5708.93,5692.57,5698.46,395495
TUNINDEX,2017-05-30,5716.25,5719.55,5693.6,5705.73,205804
TUNINDEX,2017-05-29,5713.88,5722.55,5707.5,5715.61,150338
TUNINDEX,2017-05-26,5691.61,5716.82,5680.92,5714.05,504436
TUNINDEX,2017-05-25,5673.02,5689.98,5673.02,5688.28,578552
TUNINDEX,2017-05-24,5683.29,5690.84,5666.46,5680.16,360645
TUNINDEX,2017-05-23,5682.38,5702.72,5672.04,5685.81,653847
TUNINDEX,2017-05-22,5707.81,5716.77,5677.61,5681.96,723369
TUNINDEX,2017-05-19,5728.76,5734.56,5699.08,5717.44,336103
TUNINDEX,2017-05-18,5729.57,5740.35,5723.11,5725.82,955726
TUNINDEX,2017-05-17,5737.13,5741.06,5724.3,5731.22,1730227
TUNINDEX,2017-05-16,5752.74,5754.8,5730.87,5737.11,825921
TUNINDEX,2017-05-15,5750.13,5759.42,5747.37,5752.25,591341
TUNINDEX,2017-05-12,5749.76,5763.71,5748.19,5755.76,319283
TUNINDEX,2017-05-11,5733.18,5773.56,5731.53,5745.87,322993
TUNINDEX,2017-05-10,5721.49,5754.52,5714.83,5720.27,651738
TUNINDEX,2017-05-09,5728.13,5739.4,5718.06,5721.66,445835
TUNINDEX,2017-05-08,5719.61,5732.22,5698.82,5724.64,525777
TUNINDEX,2017-05-05,5675.89,5718.58,5662.45,5715.16,1175810
TUNINDEX,2017-05-04,5686.58,5696.45,5664.21,5674.28,875948
TUNINDEX,2017-05-03,5658.1,5666.43,5650.93,5660.81,850585
TUNINDEX,2017-05-02,5650.42,5672.87,5632.96,5665.08,630480
TUNINDEX,2017-04-28,5669.72,5681.24,5647.26,5648.19,535614
TUNINDEX,2017-04-27,5660.83,5675.57,5653.57,5669.72,548522
TUNINDEX,2017-04-26,5624.27,5667.35,5616.61,5660.55,732001
TUNINDEX,2017-04-25,5637.02,5639.67,5619.92,5625.1,515591
TUNINDEX,2017-04-24,5648.68,5665.23,5631.29,5636.65,480775
TUNINDEX,2017-04-21,5624.57,5646.66,5622.07,5641.88,566377
TUNINDEX,2017-04-20,5619.74,5629.95,5589.56,5620.61,595132
TUNINDEX,2017-04-19,5616.14,5622.58,5589.55,5621.67,871491
TUNINDEX,2017-04-18,5631.74,5634.99,5599.24,5615.85,464505
TUNINDEX,2017-04-17,5619.37,5620.82,5605.14,5620.68,344533
TUNINDEX,2017-04-14,5624.98,5640,5606.46,5619.7,389581
TUNINDEX,2017-04-13,5653.68,5655.48,5622.8,5622.86,572626
TUNINDEX,2017-04-12,5605.58,5645.72,5598.7,5645.47,488017
TUNINDEX,2017-04-11,5571.5,5613.31,5567.48,5602.29,321514
TUNINDEX,2017-04-10,5617.97,5617.97,5579.35,5579.35,564062
TUNINDEX,2017-04-07,5593.07,5598.26,5567.5,5598.04,504373
TUNINDEX,2017-04-06,5576.59,5592.88,5562.32,5592.64,710130
TUNINDEX,2017-04-05,5579.11,5585.17,5564.68,5576.97,674494
TUNINDEX,2017-04-04,5549.38,5580.4,5541.54,5580.4,1472938
TUNINDEX,2017-04-03,5546.48,5556.11,5543.28,5548.78,770064
TUNINDEX,2017-03-31,5545.86,5553.96,5517.11,5543.07,668049
TUNINDEX,2017-03-30,5551.99,5556.4,5539.06,5542.17,926925
TUNINDEX,2017-03-29,5552.97,5564.08,5546.12,5553.92,1585068
TUNINDEX,2017-03-28,5572.3,5577.01,5551.67,5562.7,1243451
TUNINDEX,2017-03-27,5548.3,5570.37,5539.57,5570.37,669874
TUNINDEX,2017-03-24,5548.22,5555.48,5542.61,5545.33,393562
TUNINDEX,2017-03-23,5559.26,5560.24,5541.38,5544.93,892345
TUNINDEX,2017-03-22,5570.11,5570.11,5547.17,5559.52,720612
TUNINDEX,2017-03-21,5577.9,5580.62,5556.55,5569.83,652979
TUNINDEX,2017-03-17,5564.13,5578.81,5560.43,5577.91,762951
TUNINDEX,2017-03-16,5559.75,5570.29,5552.23,5563.37,2673620
TUNINDEX,2017-03-15,5564.65,5568.05,5548.79,5554.63,1579628
TUNINDEX,2017-03-14,5563.92,5576.44,5561.71,5575.31,2635966
TUNINDEX,2017-03-13,5572.35,5578.53,5555.56,5563.1,522902
TUNINDEX,2017-03-10,5580.31,5585.26,5561.99,5569.61,718606
TUNINDEX,2017-03-09,5585.78,5600.92,5576.65,5578.48,1107478
TUNINDEX,2017-03-08,5576.85,5593.01,5571.34,5585.01,753288
TUNINDEX,2017-03-07,5586.47,5589.72,5569.75,5575.42,1248521
TUNINDEX,2017-03-06,5608.58,5616.41,5577.91,5580.79,1431849
TUNINDEX,2017-03-03,5598.03,5607.97,5585.12,5591.28,1732297
TUNINDEX,2017-03-02,5615.32,5615.99,5580.73,5590.14,1125174
TUNINDEX,2017-03-01,5619.98,5626.74,5591.45,5613.28,2959139
TUNINDEX,2017-02-28,5566.88,5606.98,5563.2,5606.98,1886412
TUNINDEX,2017-02-27,5519.88,5562.22,5519.88,5562.13,4768827
TUNINDEX,2017-02-24,5516.44,5529,5509.12,5519.51,1204084
TUNINDEX,2017-02-23,5509.84,5521.6,5504.07,5512.65,1646559
TUNINDEX,2017-02-22,5484.16,5497,5481.19,5496.22,499510
TUNINDEX,2017-02-21,5480.9,5480.9,5461.94,5476.13,646968
TUNINDEX,2017-02-20,5454.08,5473.18,5445.99,5471.54,912939
TUNINDEX,2017-02-17,5466.65,5466.65,5438.59,5454.48,285685
TUNINDEX,2017-02-15,5499.67,5508.33,5480.45,5484.91,269681
TUNINDEX,2017-02-14,5532.03,5532.03,5501.87,5502.85,579025
TUNINDEX,2017-02-13,5516.71,5537.47,5515.1,5526.82,441402
TUNINDEX,2017-02-10,0,0,0,5526.78,612047
TUNINDEX,2017-02-09,0,0,0,5511.05,457514
TUNINDEX,2017-02-08,0,0,0,5515.85,387104
TUNINDEX,2017-02-07,0,0,0,5507.65,512139
TUNINDEX,2017-02-06,0,0,0,5509.83,319022
TUNINDEX,2017-02-03,0,0,0,5500.77,307293
TUNINDEX,2017-02-02,0,0,0,5491.08,248382
TUNINDEX,2017-02-01,0,0,0,5487.46,197729
TUNINDEX,2017-01-31,0,0,0,5492.92,680967
TUNINDEX,2017-01-30,0,0,0,5529.6,372277
TUNINDEX,2017-01-27,0,0,0,5540.37,358590
TUNINDEX,2017-01-26,0,0,0,5548.44,330546
TUNINDEX,2017-01-25,0,0,0,5576.94,341940
TUNINDEX,2017-01-24,0,0,0,5591.26,466640
TUNINDEX,2017-01-23,0,0,0,5588.64,383181
TUNINDEX,2017-01-20,0,0,0,5573.49,875980
TUNINDEX,2017-01-19,0,0,0,5555.5,665220
TUNINDEX,2017-01-18,0,0,0,5575.12,760120
TUNINDEX,2017-01-17,0,0,0,5579.81,957014
TUNINDEX,2017-01-16,0,0,0,5568.68,527177
TUNINDEX,2017-01-13,0,0,0,5546.38,450790
TUNINDEX,2017-01-12,0,0,0,5540.01,619101
TUNINDEX,2017-01-11,0,0,0,5557.06,472385
TUNINDEX,2017-01-10,0,0,0,5583.58,478329
TUNINDEX,2017-01-09,0,0,0,5557.34,1009322
TUNINDEX,2017-01-06,0,0,0,5546.64,747937
TUNINDEX,2017-01-05,0,0,0,5533.04,556931
TUNINDEX,2017-01-04,0,0,0,5529.91,664202
TUNINDEX,2017-01-03,0,0,0,5514.36,374824
TUNINDEX,2017-01-02,0,0,0,5495.99,0
TUNINDEX,2016-12-30,0,0,0,5488.77,3023905
TUNINDEX,2016-12-29,0,0,0,5467.14,2747964
TUNINDEX,2016-12-28,0,0,0,5456.2,1271094
TUNINDEX,2016-12-27,0,0,0,5447.14,2001379
TUNINDEX,2016-12-26,0,0,0,5443.9,1096401
TUNINDEX,2016-12-23,0,0,0,5448.67,979009
TUNINDEX,2016-12-22,0,0,0,5450.01,605800
TUNINDEX,2016-12-21,0,0,0,5424.7,1106447
